country,publication_number,kind,title,applicants,inventors,first_claim,publication_date,priority_date,relevance_score,source,link,date_added,is_new
CN,106062559,A,Method for enriching cns-derived exosomes,"INARIAN NEURODIAGNOSTICS LLC, 北京新源长青生物科技有限公司","ZHANG JING, 章京",,20161026,20140627,0.66,EPO,https://patents.google.com/patent/CN106062559,2026-02-11,NO
WO,2015200851,A1,METHOD FOR ENRICHING CNS-DERIVED EXOSOMES,"INARIAN NEURODIAGNOSTICS LLC [US], INARIAN NEURODIAGNOSTICS, LLC","ZHANG JING [US], ZHANG, JING",,20151230,20140627,0.66,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015200851,2026-02-11,NO
US,2023114434,A1,EXTRACELLULAR VESICLES FOR TREATING NEUROLOGICAL DISORDERS,"CODIAK BIOSCIENCES INC [US], Codiak BioSciences, Inc","VERMA AJAY [US], SOOS TIM [US], ROSS NIKKI [US]",,20230413,20200313,0.6551791429519653,EPO,https://patents.google.com/patent/US2023114434,02/12/2025,NO
AU,2021238317,A1,Designer extracellular vesicles for treating excitotoxicity,"OHIO STATE INNOVATION FOUNDATION [US], OHIO STATE INNOVATION FOUNDATION","HIGUITA-CASTRO NATALIA, GALLEGO-PEREZ DANIEL, HIGUITA-CASTRO, Natalia,",,20220929,20200317,0.6306639313697815,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DAU2021238317,02/12/2025,NO
CA,3175322,A1,DESIGNER EXTRACELLULAR VESICLES FOR TREATING EXCITOTOXICITY,"OHIO STATE INNOVATION FOUNDATION [US], OHIO STATE INNOVATION FOUNDATION","HIGUITA-CASTRO NATALIA [US],  GALLEGO-PEREZ DANIEL [US], HIGUITA-CASTRO, NATALIA, ",,20210923,20200317,0.63,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DCA3175322A1,2026-02-11,NO
WO,2021188616,A1,DESIGNER EXTRACELLULAR VESICLES FOR TREATING EXCITOTOXICITY,"OHIO STATE INNOVATION FOUNDATION [US], OHIO STATE INNOVATION FOUNDATION","HIGUITA-CASTRO NATALIA [US],  GALLEGO-PEREZ DANIEL [US], HIGUITA-CASTRO, Natalia, ",,20210923,20200317,0.63,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021188616,2026-02-11,NO
WO,2019139901,A1,NASAL EXOSOMES FOR NON-INVASIVE SAMPLING OF CNS PROTEINS,"MASSACHUSETTS EYE & EAR INFIRMARY [US],  UNIV NORTHEASTERN [US], MASSACHUSETTS EYE AND EAR INFIRMARY, ","BLEIER BENJAMIN S [US],  AMIJI MANSOOR [US], BLEIER, Benjamin S, ",,20190718,20180112,0.63,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019139901,2026-02-11,NO
US,2024252678,A1,SYNTHETIC EXOSOMES (SE) FOR CNS DELIVERY OF CRISPR FOR GENE EDITING IN BRAIN DISORDERS,"UNIV CALIFORNIA [US], The Regents of the University of California","JOHN VARGHESE [US], CAMPAGNA JESUS [US], John, Varghese,",,20240801,20210914,0.6282785534858704,EPO,https://patents.google.com/patent/US2024252678,02/12/2025,NO
US,2023226118,A1,DESIGNER EXTRACELLULAR VESICLES FOR TREATING EXCITOTOXICITY,"OHIO STATE INNOVATION FOUNDATION [US], OHIO STATE INNOVATION FOUNDATION","HIGUITA-CASTRO NATALIA [US], GALLEGO-PEREZ DANIEL [US], HIGUITA-CASTRO, Natalia,",,20230720,20200317,0.6281615495681763,EPO,https://patents.google.com/patent/US2023226118,02/12/2025,NO
MX,2022011409,A,DESIGNER EXTRACELLULAR VESICLES FOR TREATING EXCITOTOXICITY.,"OHIO STATE INNOVATION FOUNDATION [US], OHIO STATE INNOVATION FOUNDATION","GALLEGO-PEREZ DANIEL [US], HIGUITA-CASTRO NATALIA, GALLEGO-PEREZ Daniel,",,20221202,20200317,0.6173397302627563,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DMX2022011409,02/12/2025,NO
WO,2018209215,A1,METHOD FOR ENRICHING OLIGODENDROCYTE-DERIVED EXOSOMES,"ZHANG JING [US], ZHANG, Jing","ZHANG JING [US], ZHANG, Jing",,20181115,20170511,0.61,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018209215,2026-02-11,NO
WO,2024025809,A1,CNS DELIVERY,"CARMINE THERAPEUTICS PTE LTD [SG], NAT UNIV SINGAPORE [SG], LE MINH THI NGUYET","LE MINH THI NGUYET [SG], LAM BRENDA WAN SHING [SG], HAUT JR [SG]",,20240201,20220723,0.6093802452087402,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024025809,02/12/2025,NO
WO,2023043700,A1,SYNTHETIC EXOSOMES (SE) FOR CNS DELIVERY OF CRISPR FOR GENE EDITING IN BRAIN DISORDERS,"UNIV CALIFORNIA [US], THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","JOHN VARGHESE [US], CAMPAGNA JESUS [US], JOHN, Varghese,",,20230323,20210914,0.6049928665161133,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023043700,02/12/2025,NO
CN,115666655,A,Designer extracellular vesicles for treatment of excitatory toxicity,"OHIO STATE INNOVATION FOUNDATION, 俄亥俄州立创新基金会","HIQUITA CASTRO NATHALIE, GALLEGO PEREZ DANIEL, N·伊基塔卡斯特罗,",,20230131,20200317,0.5806009769439697,EPO,https://patents.google.com/patent/CN115666655,02/12/2025,NO
US,2022395538,A1,FIBROBLAST-BASED THERAPY FOR TREATMENT AND PREVENTION OF STROKE,"FIGENE LLC [US], FIGENE, LLC","O'HEERON PETE [US], ICHIM THOMAS [US], O'HEERON, Pete,",,20221215,20191117,0.5473559498786926,EPO,https://patents.google.com/patent/US2022395538,02/12/2025,NO
CA,3163308,A1,KINASES AS BIOMARKERS FOR NEURODEGENERATIVE CONDITIONS,"CHASE THERAPEUTICS CORP [US], CHASE THERAPEUTICS CORPORATION","CHASE THOMAS N [US],  CLARENCE-SMITH KATHLEEN [US], CHASE, THOMAS N, ",,20210708,20191231,0.54,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DCA3163308A1,2026-02-11,NO
US,2021260021,A1,"COMPOSITIONS AND METHODS FOR MODULATION OF EXTRACELLULAR VESICLE RELEASE AND TREATMENT OF NEUROLOGICAL DISORDERS
","GEORGE MASON RES FOUNDATION INC [US], GEORGE MASON RESEARCH FOUNDATION, INC","KASHANCHI FATAH [US],  DEMARINO CATHERINE [US], Kashanchi, Fatah, ",,20210826,20181016,0.54,EPO,https://patents.google.com/patent/US2021260021,2026-02-11,NO
WO,2021138364,A1,KINASES AS BIOMARKERS FOR NEURODEGENERATIVE CONDITIONS,"CHASE THERAPEUTICS CORP [US], CHASE THERAPEUTICS CORPORATION","CHASE THOMAS N [US],  CLARENCE-SMITH KATHLEEN [US], CHASE, Thomas N, ",,20210708,20191231,0.54,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021138364,2026-02-11,NO
WO,2020081634,A2,COMPOSITIONS AND METHODS FOR MODULATION OF EXTRACELLULAR VESICLE RELEASE AND TREATMENT OF NEUROLOGICAL DISORDERS,"GEORGE MASON RES FOUNDATION INC [US], GEORGE MASON RESEARCH FOUNDATION, INC","KASHANCHI FATAH [US],  DEMARINO CATHERINE [US], KASHANCHI, Fatah, ",,20200423,20181016,0.54,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020081634,2026-02-11,NO
CN,116600795,A,Cannabis plant-derived extracellular vesicles and methods of treatment using same,"UNIV FLORIDA, 佛罗里达大学研究基金会有限公司","AZARI HASSAN, SCHMIDTGEN TODD D, NASIRIKUPAY NASIRI",,20230815,20200928,0.5390763282775879,EPO,https://patents.google.com/patent/CN116600795,02/12/2025,NO
CN,120478653,A,Preparation method and application of GS-loaded mesenchymal stem cell exosome,"UNIV CHANGCHUN CHINESE MEDICINE, XINJINFANG JILIN MEDICAL TECH RESEARCH INSTITUTE CO LTD, 长春中医药大学,","JIN YE, CUI NING, LIU DA",,20250815,20250721,0.5372527837753296,EPO,https://worldwide.espacenet.com/patent/search/family/CN120478653A,2025-12-30,NO
WO,2025012776,A1,EXTRACELLULAR VESICLES FOR TREATMENT OF AMYOTROPHIC LATERAL SCLEROSIS,"ARUNA BIO INC [US], ARUNA BIO, INC","STICE STEVEN L [US], BAKER EMILY [US], NARAYANAPPA AMRUTA [US]",,20250116,20230707,0.5365301370620728,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025012776,02/12/2025,NO
US,2023349906,A1,KINASES AS BIOMARKERS FOR NEURODEGENERATIVE CONDITIONS,"CHASE THERAPEUTICS CORP [US], Chase Therapeutics Corporation","CHASE THOMAS N [US], CLARENCE-SMITH KATHLEEN [US], Chase, Thomas N,",,20231102,20191231,0.5264506340026855,EPO,https://patents.google.com/patent/US2023349906,02/12/2025,NO
WO,2023212656,A1,BIOMATERIALS FOR IMPROVING BRAIN HEALING AFTER STROKE AND METHODS OF USING SAME,"UNIV DUKE [US], DUKE UNIVERSITY","SEGURA TATIANA [US], XIN SHANGJING [US], SEGURA, Tatiana,",,20231102,20220427,0.5258548259735107,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023212656,02/12/2025,NO
AU,2020416213,A1,Kinases as biomarkers for neurodegenerative conditions,"CHASE THERAPEUTICS CORP [US], CHASE THERAPEUTICS CORPORATION","CHASE THOMAS N, CLARENCE-SMITH KATHLEEN, CHASE, Thomas N,",,20220721,20191231,0.523673415184021,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DAU2020416213,02/12/2025,NO
PH,12022551608,A1,KINASES AS BIOMARKERS FOR NEURODEGENERATIVE CONDITIONS,"CHASE THERAPEUTICS CORP [US], CHASE THERAPEUTICS CORPORATION","CHASE THOMAS N [US], CLARENCE-SMITH KATHLEEN [US], CHASE, Thomas N,",,20231016,20191231,0.523673415184021,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DPH12022551608,02/12/2025,NO
AU,2024288557,A1,THERAPEUTIC USE OF FIBROBLAST MODULATION OF MICROGLIA,"FIBROBIOLOGICS INC [US], FIBROBIOLOGICS, INC","O'HEERON PETE,  KHOJA HAMID, O'HEERON, Pete, ",,20260205,20230711,0.51,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DAU2024288557,2026-03-01,NO
CN,115884788,A,Kinases as biomarkers for neurodegenerative conditions,"CHASE THERAPEUTICS CORP, 才思治疗公司","THOMAS N CHASE, CLARENCE-SMITH KATHLEEN, 托马斯·N·蔡斯,",,20230331,20191231,0.506160318851471,EPO,https://patents.google.com/patent/CN115884788,02/12/2025,NO
AU,2021350200,A1,CANNABIS PLANT DERIVED EXTRACELLULAR VESICLES AND THERAPEUTIC METHODS USING THE SAME,"UNIVERSITY OF FLORIDA RESEARCH FOUNDATION INCORPORATED [US], UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INCORPORATED","AZARI HASSAN, SCHMITTGEN THOMAS, NASSIRI KOOPAEI NASSER",,20230608,20200928,0.5036889314651489,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DAU2021350200,02/12/2025,NO
GB,2615671,A,Cannabis plant derived extracellular vesicles and therapeutic methods using the same,"UNIV FLORIDA [US], University of Florida Research Foundation, Incorporated","HASSAN AZARI [US], THOMAS D SCHMITTGEN [US], NASSER NASSIRI KOOPAEI [US]",,20230816,20200928,0.5036889314651489,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DGB2615671,02/12/2025,NO
US,2024024227,A1,CANNABIS PLANT DERIVED EXTRACELLULAR VESICLES AND THERAPEUTIC METHODS USING THE SAME,"UNIV FLORIDA [US], UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INCORPORATED","AZARI HASSAN [US], SCHMITTGEN THOMAS D [US], NASSIRI KOOPAEI NASSER [US]",,20240125,20200928,0.5036889314651489,EPO,https://patents.google.com/patent/US2024024227,02/12/2025,NO
CA,3193856,A1,CANNABIS PLANT DERIVED EXTRACELLULAR VESICLES AND THERAPEUTIC METHODS USING THE SAME,"UNIV FLORIDA [US], UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INCORPORATED","AZARI HASSAN [US], SCHMITTGEN THOMAS D [US], NASSIRI KOOPAEI NASSER [US]",,20220331,20200928,0.5036889314651489,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DCA3193856,02/12/2025,NO
WO,2022067223,A2,CANNABIS PLANT DERIVED EXTRACELLULAR VESICLES AND THERAPEUTIC METHODS USING THE SAME,"UNIV FLORIDA [US], UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INCORPORATED","AZARI HASSAN [US], SCHMITTGEN THOMAS [US], NASSIRI KOOPAEI NASSER [US]",,20220331,20200928,0.5036889314651489,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022067223,02/12/2025,NO
JP,2024112950,A,METHODS FOR DEVELOPING PHARMACEUTICALS FOR TREATING NEURODEGENERATIVE CONDITIONS,"CHASE THERAPEUTICS CORP, チェイス  セラピューティクス  コーポレイション","THOMAS N CHASE, KATHLEEN CLARENCE-SMITH, チェイス  トーマス  エヌ．,",,20240821,20171219,0.4882944226264953,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DJP2024112950,02/12/2025,NO
US,2025263798,A1,DIAGNOSTIC AND TREATMENT MONITORING BASED ON BLOOD-BRAIN BARRIER DISRUPTION,"INSIGHTEC LTD [IL], INSIGHTEC LTD","ACHROL ACHAL SINGH [US], LEVY YOAV [IL], ACHROL, Achal Singh,",,20250821,20210701,0.483544647693634,EPO,https://patents.google.com/patent/US2025263798,02/12/2025,NO
WO,2023275617,A2,DIAGNOSTIC AND TREATMENT MONITORING BASED ON BLOOD-BRAIN BARRIER DISRUPTION,"INSIGHTEC LTD [IL], INSIGHTEC, LTD","ACHROL ACHAL [US], LEVY YOAV [IL], ACHROL, Achal,",,20230105,20210701,0.483544647693634,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023275617,02/12/2025,NO
MX,2022008111,A,KINASES AS BIOMARKERS FOR NEURODEGENERATIVE CONDITIONS.,"CHASE THERAPEUTICS CORP [US], CHASE THERAPEUTICS CORPORATION","CHASE THOMAS N [US], CLARENCE-SMITH KATHLEEN, CHASE Thomas N,",,20230222,20191231,0.4804095029830932,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DMX2022008111,02/12/2025,NO
CN,117957446,A,Diagnostic and therapeutic monitoring based on blood brain barrier disruption,"INSIGHTEC LTD, 医视特有限公司","AKRO AHMED S, LEVY YOAV, A·S·阿克罗,",,20240430,20210701,0.4693717360496521,EPO,https://patents.google.com/patent/CN117957446,02/12/2025,NO
WO,2023223312,A1,ANTI-PTEN RNA INTERFERENCE OLIGONUCLEOTIDES AND USES THEREOF,"NUREXONE BIOLOGIC LTD [IL], NUREXONE BIOLOGIC LTD","PERETS NISIM [IL], AHARONOV LYORA [IL], SHALTIEL LIOR [IL]",,20231123,20220515,0.4169647097587585,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023223312,02/12/2025,NO
US,2025136992,A1,ANTI-PTEN RNA INTERFERENCE OLIGONUCLEOTIDES AND USES THEREOF,"NUREXONE BIOLOGIC LTD [IL], NUREXONE BIOLOGIC LTD","PERETS NISIM [IL], AHARONOV LYORA [IL], SHALTIEL LIOR [IL]",,20250501,20220515,0.4169647097587585,EPO,https://patents.google.com/patent/US2025136992,02/12/2025,NO
AU,2023270605,A1,ANTI-PTEN RNA INTERFERENCE OLIGONUCLEOTIDES AND USES THEREOF,"NUREXONE BIOLOGIC LTD [IL], NUREXONE BIOLOGIC LTD","PERETS NISIM, AHARONOV LYORA, SHALTIEL LIOR",,20241205,20220515,0.4169647097587585,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DAU2023270605,02/12/2025,NO
CN,119183475,A,Anti-PTEN RNA interference oligonucleotides and uses thereof,"NOAXOON BIOPHARMACEUTICALS LLC, 诺艾克叟恩生物制药有限公司","PERETZ NORBERT, AHARONOV LIOR, SALTIER LAURENT",,20241224,20220515,0.4161000251770019,EPO,https://patents.google.com/patent/CN119183475,02/12/2025,NO
EP,4273882,A2,METHOD FOR ASSESSING A SYNUCLEINOPATHY,"CHASE THERAPEUTICS CORP [US], Chase Therapeutics Corporation","CHASE THOMAS N [US], CLARENCE-SMITH KATHLEEN [US], Chase, Thomas N,",,20231108,20171219,0.3624027371406555,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DEP4273882,02/12/2025,NO
JP,2024063160,A,ALPHA-SYNUCLEIN ASSAYS,"CHASE THERAPEUTICS CORP, チェイス  セラピューティクス  コーポレイション","THOMAS N CHASE, KATHLEEN CLARENCE-SMITH, チェイス  トーマス  エヌ．,",,20240510,20190430,0.3585235476493835,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DJP2024063160,02/12/2025,NO
CN,114341343,A,Alpha-synuclein assay,"TANLII TREAT COMPANY, 才思治疗公司","THOMAS N CHASE, CLARENCE-SMITH KATHLEEN, 托马斯·N·蔡斯,",,20220412,20190430,0.3243387341499328,EPO,https://patents.google.com/patent/CN114341343,02/12/2025,NO
US,2022214360,A1,ALPHA-SYNUCLEIN ASSAYS,"CHASE THERAPEUTICS CORP [US], Chase Therapeutics Corporation","CHASE THOMAS N [US], CLARENCE-SMITH KATHLEEN [US], CHASE, Thomas N,",,20220707,20190430,0.2989697754383087,EPO,https://patents.google.com/patent/US2022214360,02/12/2025,NO
