nctid,title,detailed_description,conditions,interventions,phases,study_type,status,start_date,completion_date,sponsor,enrollment,age_range,url,is_new,content_hash,first_seen
NCT04202770,"Focused Ultrasound and Exosomes to Treat Depression, Anxiety, and Dementias","The present study is designed to enhance the delivery of growth factors and anti-inflammatory agents to localized targets (determined by specific condition) by using focused transcranial ultrasound prior to intravenous infusion of exosomes. Exosomes, which are ubiquitous in blood, body fluids, and tissues are thought to play a normal physiological role in intercellular signaling. Exosomes delivered intravenously can be demonstrated to cross the blood brain barrier naturally. Exosomes and mesenchymal signaling cells (MSC's) demonstrate anti-inflammatory and pro-growth effects in preclinical models and clinical cases reports and have been used intravenously and with intracerebral and intrathecal injection. Various clinical trials have claimed safety and clinical efficacy.

Focused ultrasound has been demonstrated to enhance local blood flow and has been proposed as a non-invasive means of targeting delivery of therapeutic agents. The present paper was designed to use focused ultrasound as a means of enhancing delivery of intravenous exosomes to the subgenual target for patients with refractory depression, the amygdala for patients with anxiety, and the hippocampus for patients with cognitive impairment due to neurodegenerative disease.","Refractory Depression,Anxiety Disorders,Neurodegenerative Diseases",Exosomes,NA,INTERVENTIONAL,SUSPENDED,2019-12-01,2024-12,Neurological Associates of West Los Angeles,300,18 Years - N/A,https://clinicaltrials.gov/study/NCT04202770,0,e692a2cad7e029ba35f2b05bd65c7c23,2025-09-16 10:24:08
NCT04974463,Predicting Chronic Opioid Use Following Lower Extremity Joint Arthroplasty,"The primary objective of this study is to identify associations with genetic variants, gut microbiome, and metabolomics (i.e. exosome profiling) with postoperative opioid use in surgical patients. Patients will be recruited preoperatively who underwent lower extremity joint replacement. The following tests will be performed: 1) genome-wide single nucleotide polymorphisms and structural variation, with a particular focus on the following genes: COMT, BDNF, SCN11a, OPRM1, ACBC1, CYPD26, CYP34A, ANKK1, OPRD1, OPRK1,NGFB, UGT2B7, FFAR2, FFAR3, GABRG2, SLCO1B1, DRD4; 2) longitudinal gut microbiome sampling; and 3) exosome profiling - blood will be collecting for RNAseq and plasma for metabolomics and extracellular vesicle characterization with ultimate impact on in vitro cell function. These genes were selected because they have been shown to be associated with opioid use, opioid metabolism, and pain. Furthermore, subjects will fill out surveys preoperatively, including: pain catastrophizing scale, brief pain inventory, PROMIS-29, and fibromyalgia survey criteria. Other data collected will include body mass index, age, sex, comorbidities, lifestyle habits, and medication use.

The hypothesis is that there will be clinically significant associations with patient genetics, microbiome, exosome profiles with their postoperative opioid use. Such findings will help personalize pain interventions for high-risk patients undergoing knee or hip arthroplasty in order to help improve postoperative pain control and reduce incidence of chronic opioid use.

Specific Aim #1. To validate and identify pharmacogenomic associations with acute postoperative opioid use (during the first 48 postoperative hours) and chronic opioid use (at \>3-4 months after surgery) in patients who underwent lower extremity joint replacement.

Specific Aim #2. To identify gut microbiome and metabolomics associations with acute postoperative opioid use (during the first 48 postoperative hours) and chronic opioid use (at \>3-4 months after surgery) in patients underwent lower extremity joint replacement.

Specific Aim #3. To identify blood RNAseq patterns, plasma metabolic markers, extracellular vesicles, and impact of plasma on in vitro cell metabolism associated with acute postoperative opioid use (during the first 48 postoperative hours) and chronic opioid use (at \>3-4 months after surgery) in patients underwent lower extremity joint replacement.

Machine learning approaches will be used to combine all data to improve prediction of the primary outcomes.","Joint Pain,Chronic Pain,Opioid Use",,,OBSERVATIONAL,UNKNOWN,2021-07-19,2023-12-31,"University of California, San Diego",1000,18 Years - N/A,https://clinicaltrials.gov/study/NCT04974463,0,d3bd63d7d9c3a8ff4cd192d3cca33640,2025-09-16 10:24:08
NCT06496451,Frataxin mRNA in Biofluids,"Overview of the Study Participants will complete the study during 2 visits (visit 1 and 2). Visit 1 can be combined with a routine clinic visit for care or research but also may be done remotely via Zoom. During visit 1, the investigators will fully explain the study and obtain the participant\&#39;s informed consent. For remote visits, a copy of the consent will be emailed to the participant before the visit and the study team will schedule a time to discuss the consent. The informed consent will be reviewed in detail with the participant, and they will have an opportunity to ask any questions before signing the document and agreeing to the study. In either case, once the participant agrees to the study after being fully informed, they will sign the consent document and a copy of it will be provided to them after the investigator signs it.

Once informed consent has been obtained, the participant will either schedule visit 1 or begin visit 1 that day. Visit 1 will last no more than 2 hours and will involve the collection of clinical data and the collection of a blood sample. The participant will be asked to obtain lab work before visit 2, these labs will be to test the participant\&#39;s blood for its ability to clot well. This lab work will be reviewed before visit 2. Visit 2 will take no more than 4 hours and will involve the collection of spinal fluid. The participant will need to be accompanied by a driver at visit 2.

Description of Study Procedures

Blood Work prior to scheduled visit (\~30 minutes)

• will need to go to one of the University of Florida Health's (UF Health\&#39;s) local labs in Gainesville, Florida (FL) to have blood work done before the scheduled visit 2. This blood work will ensure that the participant meet the inclusion criteria before the spinal tap.

Overall health and safety assessment (\~30 minutes)

* The participant\&#39;s birthdate, gender, contact information, health history, current medications, and allergies will be obtained. The information will be stored in the participant\&#39;s study file.
* If the participant is a woman of childbearing potential, a urine sample will be tested to see if they are pregnant. If the test is positive, the participant will not be able to continue in the study.
* The participant\&#39;s FRDA DNA test from their medical record will be assessed and a copy placed in the research folder. No additional genetic testing will be performed.
* Measurements such as the participant\&#39;s height, weight, blood pressure, pulse, respiratory rate, and temperature will be obtained.
* A general physical examination will be done by the study physician

Neurological examination, modified Friedreich Ataxia Rating Scale (mFARS), and blood sample (\~30 minutes)

* The study physician will perform a neurological examination and use this to rate the participant\&#39;s ataxia severity in the mFARS scale.
* This will include examining the participant\&#39;s eye movements, speech, strength of their muscles, sensation, coordination in their arms and legs and ability to stand and walk among other things.
* The participant will be asked questions regarding their activities of daily living for a questionnaire called FRDA activities of daily living scale (FARS ADL).
* A blood sample of approximately 5-10 milliliters (or 1-2 teaspoonfuls) will be obtained.

Spinal Tap (\~3 hours)

* About 15 milliliters or 1 tablespoon of cerebrospinal fluid (CSF) will be collected though a test called a spinal tap.
* The spinal tap will be performed in the interventional radiology suite at the Neuromuscular hospital via x-ray fluoroscopy.
* This procedure uses X-ray (fluoroscopy) to visualize their low back spine so that the spinal tap needle can be placed in the spinal sac in the participant\&#39;s low back under visual guidance. This can minimize discomfort and can help increase the success of the procedure in one attempt.
* The participant will be given local anesthesia to numb the area before collection.
* The participant will be asked to relax while laying down following the procedure for 1 to 2 hours before leaving.",Friedreich Ataxia,"Spinal tap for CSF collection,Venipuncture for blood sample",,OBSERVATIONAL,RECRUITING,2024-06-14,2025-07,University of Florida,10,18 Years - 65 Years,https://clinicaltrials.gov/study/NCT06496451,0,c4360685dbb8dfd2018d4ad930f07afa,2025-09-16 10:24:08
NCT03419000,Circulating microRNAs as Biomarkers of RESPIratory Dysfunction in Patients With Refractory epilePSY,,Drug Resistant Epilepsy,blood sample,NA,INTERVENTIONAL,COMPLETED,2018-03-16,2022-03-31,Hospices Civils de Lyon,75,18 Years - N/A,https://clinicaltrials.gov/study/NCT03419000,0,0d30873b03ffaa155d9c1f29139012a6,2025-09-16 10:24:08
NCT03275363,The University of Hong Kong Neurocognitive Disorder Cohort,"The HKU Neurocognitive Disorder (NCD) Cohort is a hospital-based, prospective, observational study of older HK Chinese adults with cognitive impairment, with a special focus on studying patients with subjective cognitive decline and mild cognitive impairment, and in particular the biomarkers that predict cognitive and functional decline.

Comprehensive profiling of each subject is performed through a multi-domain assessment protocol including detailed demographics, lifestyle factors, neuropsychological battery, mood, MRI, genetics, blood biomarkers, and other patient-centred parameters including level of disability, quality of life and societal engagement. Ongoing annual follow up captures the essential clinical events and changes in neurocognitive function (conversion to MCI or dementia), mood, level of disability and quality of life; as well as repeat blood tests.

The HKU NCD Cohort is the first-ever Asian dementia cohort to be formally included into the Dementia Platforms UK, achieving an international collaborative status with other UK-based cohorts. The study neuropsychological battery is aligned with the NACC UDS3 battery.","Neurocognitive Disorder,Mild Cognitive Impairment,Alzheimer Dementia,Vascular Dementia,Age-related Cognitive Decline","Neurocognitive battery,MRI,Blood tests,EEG with event-related potential (ERP),Amyloid PET CT",,OBSERVATIONAL,UNKNOWN,2014-09-01,2022-01-04,The University of Hong Kong,500,65 Years - N/A,https://clinicaltrials.gov/study/NCT03275363,0,e9abc08ee4c795f1e31ffcec7ef032f3,2025-09-16 10:24:08
NCT03255408,Cerebral Blood Flow and Ventilatory Responses During Sleep in Normoxia and Intermittent Hypoxia,"The investigators will explore the relationship between changes in Cerebral Blood Flow (CBF) and ventilatory chemoreflexes i.e. Acute Ventilatory Response to Hypoxia (AHVR) and Acute Hypercapnic Ventilatory Response (HCVR) before, during and after sleep under normoxic conditions and sleep accompanied by isocapnic Intermittent Hypoxia (IH) among healthy human study participants.

A pharmacological intervention will be utilized to manipulate the CBF in a randomized order. The study participants will also be randomly assigned the order to sleep either under normoxia or IH exposure. The experiments will be separated from one another with an interval of sufficient drug and IH exposure washout period. The venous blood samples and urinary samples will be collected for the vascular biomarkers.","Obstructive Sleep Apnea of Adult,Hypoxia, Brain,Sleep Apnea,Sleep Disorder,Stroke,Blood Pressure,Endothelial Dysfunction,Oxidative Stress","Drug Lowering Cerebral Blood Flow (CBF) and Normoxia Sleep,Drug Lowering CBF and Intermittent Hypoxia Sleep,Placebo and Normoxia Sleep,Placebo and Intermittent Hypoxia Sleep","PHASE1,PHASE2",INTERVENTIONAL,UNKNOWN,2023-01-01,2024-12-30,University of Calgary,12,18 Years - 45 Years,https://clinicaltrials.gov/study/NCT03255408,0,ad5980191dab0d0286e3ca9534a79a09,2025-09-16 10:24:08
NCT04202783,The Use of Exosomes In Craniofacial Neuralgia,"The present study is designed to amplify the delivery of growth factors and anti-inflammatory agents to localized targets (determined by specific condition) by using focused transcranial ultrasound prior to intravenous infusion of exosomes. Exosomes delivered intravenously can be demonstrated to cross the blood brain barrier naturally. Exosomes are thought to play a normal physiological role in intercellular signaling, and demonstrate anti-inflammatory and pro-growth effects in preclinical models and clinical cases reports. Clinical trials have deployed exosomes intravenously and with intracerebral and intrathecal injection, and have claimed safety and clinical efficacy.

Focused ultrasound has been shown to enhance local blood flow and has been presented as a non-invasive means of targeting delivery of therapeutic agents.",Neuralgia,Exosomes,NA,INTERVENTIONAL,SUSPENDED,2023-12-01,2024-12-01,Neurological Associates of West Los Angeles,100,18 Years - N/A,https://clinicaltrials.gov/study/NCT04202783,0,3c11a6d2f08fc95054e01a1f55e7511e,2025-09-16 10:24:08
NCT05796232,Pharmacogenetics of Ketamine in Children,,Procedural Pain,,,OBSERVATIONAL,UNKNOWN,2020-06-26,2024-05-15,IRCCS Burlo Garofolo,250,1 Year - 17 Years,https://clinicaltrials.gov/study/NCT05796232,0,ffcd635ffe3e9a90687e8304f50a9f16,2025-09-16 10:24:08
NCT04184076,Randomized Controlled Trial of Time-Restricted Feeding (TRF) in Acute Ischemic Stroke Patients,"Specific Aims This project is to conduct a pilot, phase II randomized clinical trial which aims to investigate the safety and compliance as well as efficacy of one specific IF intervention called time-restricted feeding (TRF; 16 hours fasting daily) in patients with acute ischemic stroke (AIS) The primary endpoint is the safety and compliance of 4 weeks of TRF in AIS patients.

The secondary endpoints are the efficacy of 4 weeks of TRF compared to normal eating (NE) on plasma and imaging biomarkers and functional outcome at 3 months post-stroke.

This study will determine whether compared to NE control:

1. TRF (16 hours fasting daily) is safe and well-tolerated in patients with AIS.
2. TRF improves functional outcome compared to NE in AIS patients. (3) TRF decreases plasma pro-inflammatory cytokines including metallopeptidase (MMP)-9, interleukin (IL)-6, and tumor necrosis factor alpha (TNF) in plasma compared to baseline and NE in AIS patients.

(4) TRF improves diffusion tensor imaging on MRI at 3 months post stroke compared to baseline and NE in AIS patients.

(5) TRF changes plasma exosome components, metabolomics and lipidomics compared to baseline and NE in AIS patients.",Fasting,Time-restricted feeding (TRF) with dietary counseling,NA,INTERVENTIONAL,UNKNOWN,2020-01-01,2022-12-31,National Taiwan University Hospital,40,20 Years - 80 Years,https://clinicaltrials.gov/study/NCT04184076,0,c1390f0a5e35c3b410494f36b3268677,2025-09-16 10:24:08
NCT04714892,Mechanisms Underlying Individual Variations of Taste and Smell in Obesity,"Study Description:

This study involves comparison of taste and smell measures between obese and non-obese individuals. Taste and smell perceptions will be assessed in terms of their influence in food intake and food choices. We hypothesize that obesity negatively affects taste and smell perception thus affecting eating behavior.

Objectives:

Obesity is a major public health concern in America. An unhealthy diet is a recognized risk factor for the development of obesity. Public health efforts to modify eating behaviors have had limited success. Not only does an unhealthy diet contribute to obesity, but it can also lead to changes in gut microbiota that likely result in inflammation and changes in transcriptomic activity. Taste and smell perceptions, which can influence food choices and food consumption, may differ between obese and non-obese individuals. Currently, little is known about the underlying mechanisms causing variations in taste and smell systems in individuals with obesity, which limits the interventions currently available to address this critical issue. Findings from this study can be used to design more effective interventions for the prevention and treatment of obesity, to identify targets and strategies for countermeasures to prevent or improve obesity and its comorbidities, and to suggest ways to enhance dietary interventions. Moreover, findings will foster new lines of investigation for reducing risk of diet related conditions and for developing novel behavioral and pharmacological avenues of treatment and prevention. The proposed research is aligned with the overall mission of the National Institutes of Health to promote health and disease prevention. The findings from this study will ultimately lead to the development of personalized interventions for individuals with obesity and concurrent taste and smell alterations. Lastly, approaches included in this proposal are innovative and highly applicable to other complex health phenomena in which biological variations in inflammation and taste and smell perception impact an individual s health.

Endpoints:

Primary Endpoint: The primary dependent measures for this study are taste and olfaction measures.

Secondary Endpoints: Secondary measures include inflammatory markers, exosomes, microbiota, gene expression, DNA methylation, biological measures and personal factors.",Obesity,,,OBSERVATIONAL,RECRUITING,2022-05-11,2026-12-31,National Institute on Alcohol Abuse and Alcoholism (NIAAA),350,18 Years - 65 Years,https://clinicaltrials.gov/study/NCT04714892,0,076cb37900b37fe425bc97592e024f4f,2025-09-16 10:24:08
